index,field,value
 1.1.1.1,category1_name,CAD Audio U49 USB Large Format Side Address Studio Microphone with Headphone Monitor and Echo
 1.1.1.4,category1_price,Nan
 1.1.1.2,category1_rating,32 ratings
 1.1.1.3,category1_review,a-icon a-icon-star a-star-4-5
 1.2.1.5,category2_description,98% positive over last 12 months
 1.2.10.5,category2_description,85% positive over last 12 months
 1.2.11.5,category2_description,98% positive over last 12 months
 1.2.12.5,category2_description,92% positive over last 12 months
 1.2.13.5,category2_description,Nan
 1.2.14.5,category2_description,90% positive over last 12 months
 1.2.15.5,category2_description,92% positive over last 12 months
 1.2.16.5,category2_description,90% positive over last 12 months
 1.2.17.5,category2_description,91% positive over last 12 months
 1.2.18.5,category2_description,88% positive over last 12 months
 1.2.2.5,category2_description,98% positive over last 12 months
 1.2.3.5,category2_description,96% positive over last 12 months
 1.2.4.5,category2_description,99% positive over last 12 months
 1.2.5.5,category2_description,95% positive over last 12 months
 1.2.6.5,category2_description,84% positive over last 12 months
 1.2.7.5,category2_description,94% positive over last 12 months
 1.2.8.5,category2_description,89% positive over last 12 months
 1.2.9.5,category2_description,89% positive over last 12 months
 1.2.1.1,category2_name,Mugan_Music_Group
 1.2.10.1,category2_name,"SETI, Inc."
 1.2.11.1,category2_name,Yandas Music & Pro Audio
 1.2.12.1,category2_name,Amazon.com
 1.2.13.1,category2_name,Interstate Music
 1.2.14.1,category2_name,Full Compass Systems
 1.2.15.1,category2_name,Adorama
 1.2.16.1,category2_name,American Shopping
 1.2.17.1,category2_name,Guitar Audio
 1.2.18.1,category2_name,Capital Music Gear
 1.2.2.1,category2_name,This is an open box item that is basically brand new
 1.2.3.1,category2_name,Mugan_Music_Group
 1.2.4.1,category2_name,Amazon.com
 1.2.5.1,category2_name,Photo4Less
 1.2.6.1,category2_name,GuitarTruck
 1.2.7.1,category2_name,AVLGear
 1.2.8.1,category2_name,MusicStoreLive
 1.2.9.1,category2_name,Pitbull Electronics
 1.2.1.2,category2_price,Nan
 1.2.10.2,category2_price,Nan
 1.2.11.2,category2_price,Nan
 1.2.12.2,category2_price,Nan
 1.2.13.2,category2_price,Nan
 1.2.14.2,category2_price,Nan
 1.2.15.2,category2_price,Nan
 1.2.16.2,category2_price,Nan
 1.2.17.2,category2_price,Nan
 1.2.18.2,category2_price,Nan
 1.2.2.2,category2_price,Nan
 1.2.3.2,category2_price,Nan
 1.2.4.2,category2_price,Nan
 1.2.5.2,category2_price,Nan
 1.2.6.2,category2_price,Nan
 1.2.7.2,category2_price,Nan
 1.2.8.2,category2_price,Nan
 1.2.9.2,category2_price,Nan
 1.2.1.4,category2_rating_count,2340
 1.2.10.4,category2_rating_count,269
 1.2.11.4,category2_rating_count,2340
 1.2.12.4,category2_rating_count,7711
 1.2.13.4,category2_rating_count,$10
 1.2.14.4,category2_rating_count,9116
 1.2.15.4,category2_rating_count,573346
 1.2.16.4,category2_rating_count,670
 1.2.17.4,category2_rating_count,6347
 1.2.18.4,category2_rating_count,958
 1.2.2.4,category2_rating_count,2340
 1.2.3.4,category2_rating_count,24284
 1.2.4.4,category2_rating_count,38240
 1.2.5.4,category2_rating_count,324
 1.2.6.4,category2_rating_count,4281
 1.2.7.4,category2_rating_count,2646
 1.2.8.4,category2_rating_count,5125
 1.2.9.4,category2_rating_count,298
 1.2.1.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 1.2.10.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 1.2.11.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 1.2.12.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 1.2.13.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 1.2.14.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 1.2.15.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 1.2.16.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 1.2.17.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 1.2.18.3,category2_review,Nan
 1.2.2.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 1.2.3.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 1.2.4.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 1.2.5.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 1.2.6.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 1.2.7.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 1.2.8.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 1.2.9.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 2.1.1.1,category1_name,"CAD Audio U9 USB Cardioid Condenser Microphone,Black"
 2.1.1.4,category1_price,$29.99
 2.1.1.2,category1_rating,75 ratings
 2.1.1.3,category1_review,a-icon a-icon-star a-star-4
 2.2.1.5,category2_description,92% positive over last 12 months
 2.2.10.5,category2_description,89% positive over last 12 months
 2.2.11.5,category2_description,87% positive over last 12 months
 2.2.12.5,category2_description,91% positive over last 12 months
 2.2.13.5,category2_description,92% positive over last 12 months
 2.2.2.5,category2_description,98% positive over last 12 months
 2.2.3.5,category2_description,99% positive over last 12 months
 2.2.4.5,category2_description,84% positive over last 12 months
 2.2.5.5,category2_description,82% positive over last 12 months
 2.2.6.5,category2_description,95% positive over last 12 months
 2.2.7.5,category2_description,92% positive over last 12 months
 2.2.8.5,category2_description,94% positive over last 12 months
 2.2.9.5,category2_description,89% positive over last 12 months
 2.2.1.1,category2_name,Amazon.com
 2.2.10.1,category2_name,Casa Mila Inc
 2.2.11.1,category2_name,Consumer Supply Co
 2.2.12.1,category2_name,Guitar Audio
 2.2.13.1,category2_name,Adorama
 2.2.2.1,category2_name,Amazon.com
 2.2.3.1,category2_name,Photo4Less
 2.2.4.1,category2_name,AVLGear
 2.2.5.1,category2_name,Licario
 2.2.6.1,category2_name,GuitarTruck
 2.2.7.1,category2_name,Interstate Music
 2.2.8.1,category2_name,MusicStoreLive
 2.2.9.1,category2_name,Pitbull Electronics
 2.2.1.2,category2_price,Nan
 2.2.10.2,category2_price,Nan
 2.2.11.2,category2_price,Nan
 2.2.12.2,category2_price,Nan
 2.2.13.2,category2_price,Nan
 2.2.2.2,category2_price,Nan
 2.2.3.2,category2_price,Nan
 2.2.4.2,category2_price,Nan
 2.2.5.2,category2_price,Nan
 2.2.6.2,category2_price,Nan
 2.2.7.2,category2_price,Nan
 2.2.8.2,category2_price,Nan
 2.2.9.2,category2_price,Nan
 2.2.1.4,category2_rating_count,44
 2.2.10.4,category2_rating_count,496
 2.2.11.4,category2_rating_count,538
 2.2.12.4,category2_rating_count,6347
 2.2.13.4,category2_rating_count,573346
 2.2.2.4,category2_rating_count,2340
 2.2.3.4,category2_rating_count,38240
 2.2.4.4,category2_rating_count,4281
 2.2.5.4,category2_rating_count,59
 2.2.6.4,category2_rating_count,324
 2.2.7.4,category2_rating_count,7711
 2.2.8.4,category2_rating_count,2646
 2.2.9.4,category2_rating_count,5125
 2.2.1.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 2.2.10.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 2.2.11.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 2.2.12.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 2.2.13.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 2.2.2.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 2.2.3.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 2.2.4.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 2.2.5.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 2.2.6.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 2.2.7.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
